2019-10-16 20:42:46.0329 TotalError: 0, Region: Hammersmith and Fulham, London: True, Error: 0, Next: 4.742473984666667, Change: 0
2019-10-16 20:42:46.0329 TotalError: 0, Region: Hampshire, London: False, Error: 0, Next: 2.862122438, Change: 0
2019-10-16 20:42:46.0440 TotalError: 0, Region: Harborough, London: False, Error: 0, Next: 8.217298818666666, Change: 0
2019-10-16 20:42:46.0440 TotalError: 0, Region: Haringey, London: True, Error: 0, Next: -1.3109800606666668, Change: 0
2019-10-16 20:42:46.0440 TotalError: 0, Region: Harlow, London: False, Error: 0, Next: 2.012794742, Change: 0
2019-10-16 20:42:46.0608 TotalError: 0, Region: Harrogate, London: False, Error: 0, Next: 0.8797053663333334, Change: 0
2019-10-16 20:42:46.0608 TotalError: 0, Region: Harrow, London: True, Error: 0, Next: 0.5866431516666667, Change: 0
2019-10-16 20:42:46.0608 TotalError: 0, Region: Hart, London: False, Error: 0, Next: 3.660185909666667, Change: 0
2019-10-16 20:42:46.0795 TotalError: 0, Region: Hartlepool, London: False, Error: 0, Next: 5.446683831666667, Change: 0
2019-10-16 20:42:46.0795 TotalError: 0, Region: Hastings, London: False, Error: 0, Next: 7.378868343, Change: 0
2019-10-16 20:42:46.0795 TotalError: 0, Region: Havant, London: False, Error: 0, Next: 2.0373218603333334, Change: 0
2019-10-16 20:42:46.0933 TotalError: 0, Region: Havering, London: True, Error: 0, Next: 0.3842624446666667, Change: 0
2019-10-16 20:42:46.0933 TotalError: 0, Region: Herefordshire, London: False, Error: 0, Next: 4.357589268000001, Change: 0
2019-10-16 20:42:46.0933 TotalError: 0, Region: Hertfordshire, London: False, Error: 0, Next: 3.2200613590000002, Change: 0
2019-10-16 20:42:46.1083 TotalError: 0, Region: Hertsmere, London: False, Error: 0, Next: 2.498558154, Change: 0
2019-10-16 20:42:46.1083 TotalError: 0, Region: High Peak, London: False, Error: 0, Next: 9.334721793333333, Change: 0
2019-10-16 20:42:46.1083 TotalError: 0, Region: Highland, London: False, Error: 0, Next: 10.464450250333334, Change: 0
2019-10-16 20:42:46.1229 TotalError: 0, Region: Hillingdon, London: True, Error: 0, Next: 3.386328088333333, Change: 0
2019-10-16 20:42:46.1229 TotalError: 0, Region: Hinckley and Bosworth, London: False, Error: 0, Next: 4.777571689666666, Change: 0
2019-10-16 20:42:46.1229 TotalError: 0, Region: Horsham, London: False, Error: 0, Next: 1.6884757143333335, Change: 0
2019-10-16 20:42:46.1380 TotalError: 0, Region: Hounslow, London: True, Error: 0, Next: 7.160902799666666, Change: 0
2019-10-16 20:42:46.1380 TotalError: 0, Region: Huntingdonshire, London: False, Error: 0, Next: 4.575974413, Change: 0
2019-10-16 20:42:46.1380 TotalError: 0, Region: Hyndburn, London: False, Error: 0, Next: 3.2719325143333333, Change: 0
2019-10-16 20:42:46.1380 TotalError: 0, Region: Inner London, London: False, Error: 0, Next: 0.4581136490000001, Change: 0
2019-10-16 20:42:46.1583 TotalError: 0, Region: Inverclyde, London: False, Error: 0, Next: 10.033429930333334, Change: 0
2019-10-16 20:42:46.1583 TotalError: 0, Region: Ipswich, London: False, Error: 0, Next: 7.833857019333334, Change: 0
2019-10-16 20:42:46.1679 TotalError: 0, Region: Isle of Anglesey, London: False, Error: 0, Next: 7.800652634333333, Change: 0
2019-10-16 20:42:46.1679 TotalError: 0, Region: Isle of Wight, London: False, Error: 0, Next: 7.659053519666666, Change: 0
